description,name,number_availability,price,review,sold_by
جلد,Leather Sketch Book-Sleep Girl,Only 13 left,EGP 200,0 Review(s),MK 3920
سيراميك,مج سيراميك صلصال  حراري,Only 5 left,EGP 240,0 Review(s),MK 3049
ورق,نوت بوك 442,Only 4 left,EGP 260,0 Review(s),mk 5064
قماش,Mini Cross Bag -Patchwork-Butter Flay ,Only 7 left,EGP 150,0 Review(s),  (Sue's) Sue's
ورق,كتاب للذكريات-صغير 1,Only 3 left,EGP 170,0 Review(s),MK 3730
كروشيه,حافظة للعملات 9,Only 1 left,EGP 40,0 Review(s),Ayah Elsayed
بلاستيك,أسورة يد بخيوط ملونة 3,Only 2 left,EGP 10,0 Review(s),MK 3014
معدن,سلسلة بدلاية معدن أوكسيدية 124,Only 3 left,EGP 130,0 Review(s),mk 5028
قماش,توكة أستيك 5,Only 16 left,,0 Review(s),Fyonka project
بلاستيك,طوق للشعر 12,Only 5 left,,0 Review(s),Fyonka project
خشب,عليقه عربية-خشب 8,Only 9 left,EGP 50,0 Review(s),MK 3094
سيراميك,مج سيراميك مرسوم 3,Only 1 left,EGP 185,0 Review(s),MK 3044
سيراميك,فنجان قهوه بطبق مرسوم ,Only 6 left,EGP 200,0 Review(s),Pullka Store
كروشيه,طقم قاعده اكواب خشب  (5),Only 3 left,EGP 100,0 Review(s),MK 1250
كروشيه,ميدالية كروشيه,Only 3 left,EGP 60,0 Review(s),mk 3190
ايتامين,سلسلة بدلاية مطرزة 37,Only 3 left,EGP 85,0 Review(s),mk 3400
جوخ,حامل للموبيل 4,Only 4 left,EGP 60,0 Review(s),MK 1140
معدن,سلسلة بدلاية معدن أوكسيدية 126,Only 3 left,EGP 130,0 Review(s),mk 5028
خشب,ميدالية ديكوباج ,Only 1 left,EGP 75,0 Review(s),
صلصال حراري,قالب للريزن-مربع,Only 5 left,EGP 90,0 Review(s),MK 1890
صلصال حراري,سلسلة ريزن,Only 6 left,EGP 150,0 Review(s),MK 3760
سيليكون,قالب ريزن 2,Only 3 left,EGP 90,0 Review(s),MK 1890
سيليكون,قالب ريزن 3,Only 3 left,EGP 90,0 Review(s),MK 1890
ورق, مجموعة ورق اوريجامي مشجر(15*15),Only 1 left,EGP 90,0 Review(s),MK 3930
قماش,حقيبة مكياج,Only 1 left,EGP 120,0 Review(s),mk 4011
ورق,فاصل للكتب 116,Only 3 left,EGP 15,0 Review(s),MK 3017
معدن,سلسلة بدلاية معدن أوكسيدية 125,Only 4 left,EGP 130,0 Review(s),mk 5028
قماش,مقلمة من الجوخ 12,Only 9 left,EGP 65,0 Review(s),omar ismael (mk3970)
قماش,وسادة دبابيس 1,Only 4 left,EGP 85,0 Review(s),MK 1150
صلصال حراري,سلسلة ريزن,Only 1 left,EGP 150,0 Review(s),MK 3760
كروشيه,ميدالية كروشيه,Only 1 left,EGP 60,0 Review(s),MK 3074
صلصال حراري,سلسلة صلصال حراري 69,Only 1 left,EGP 120,0 Review(s),mk 4034
كروشيه,ميدالية كروشيه,Only 1 left,EGP 55,0 Review(s),MK 3074
نحاس,سلسلة بدلاية نحاس,Only 1 left,EGP 70,0 Review(s),Mariam Talha
جلد,سلسلة جلد بدلاية كتاب,Only 1 left,EGP 60,0 Review(s),MK 4039
كروشيه,ميدالية كروشيه,Only 1 left,EGP 60,0 Review(s),mk 4005
ايتامين,سلسلة بدلاية مطرزة 54,Only 3 left,EGP 130,0 Review(s),mk 4040
خشب,سلسلة بدلاية خشب 27,Only 5 left,EGP 100,0 Review(s),mk  3065 
صلصال حراري,سلسلة صلصال حراري 86,Only 1 left,EGP 135,0 Review(s),mk  1010
قماش,عروسة غزالة,Only 4 left,EGP 150,0 Review(s),MK 3023
ايتامين,سلسلة بدلاية مطرزة 60,Only 3 left,EGP 85,0 Review(s),mk 3400
ورق,كتاب للذكريات 7,Only 2 left,EGP 150,0 Review(s),
نحاس,سلسلة بدلاية معدن أوكسيدية 96,Only 3 left,EGP 80,0 Review(s),mk 5013
ايتامين,أسورة يد مطرزة,,EGP 90,0 Review(s),mk 3400
خشب,ميدالية ديكوباج 10,Only 1 left,EGP 75,0 Review(s),
قماش,كوفر مصحف كبير 2,Only 2 left,EGP 145,0 Review(s),MK 1150
خشب,حلق 27,Only 2 left,EGP 35,0 Review(s),mk 5001
بلاستيك,أسورة يد خرز 29,Only 1 left,EGP 60,0 Review(s),mk  1010
معدن,سلسلة بدلاية دهب صيني,Only 1 left,EGP 200,0 Review(s),Heba momen Selsaal
سيراميك,طبق ديكورمرسوم,Only 3 left,EGP 390,0 Review(s),MK 3044
كروشيه,حقيبة كروس-كروشيه 7,Only 2 left,EGP 380,0 Review(s),mk 4047
خشب,مشابك  ملونه (10) 4,Only 5 left,EGP 10,0 Review(s),
ورق,كتاب مغامراتي 1,Only 10 left,EGP 220,0 Review(s),Sumaiya Mustafa
قماش,طاره  جوخ,Only 2 left,EGP 140,0 Review(s),MK 1140
سيراميك,مج صلصال حراري,Only 1 left,EGP 200,0 Review(s),MK 3590
صلصال حراري,ميدالية صلصال حراري,Only 1 left,EGP 99,0 Review(s),MK 3049
خشب, تابلوه string art 21 (3),Only 3 left,EGP 350,0 Review(s),wooden touch
خشب,ميدالية خشب,Only 8 left,EGP 30,0 Review(s),MK 3940
ورق,ظرف اهداء 143,Only 2 left,EGP 25,0 Review(s), رَودٌ .
نحاس,سلسلة بدلاية معدن أوكسيدية 111,Only 1 left,,0 Review(s),Rumaicaa Safwat
كروشيه,سلة كروشيه 6,Only 1 left,EGP 200,0 Review(s),mk  4048
قماش,حقيبة كروس&ماسك-صوف ليكرا,Only 1 left,EGP 250,0 Review(s),
سيراميك,مج سيراميك مرسوم 14,Only 5 left,EGP 185,0 Review(s),MK 3044
قماش,وساده باتش ورك,Only 2 left,EGP 180,0 Review(s),MK 3023
قماش,سجادة صلاه,Only 1 left,EGP 230,0 Review(s),
No,صابونة المساچ و الليفة بذور عنب,Only 1 left,EGP 80,0 Review(s),mk 5020
خشب,صنية خشب كروشيه 1,Only 3 left,EGP 250,0 Review(s),mk 3055
معدن,سلسلة بدلاية معدن أوكسيدية 116,Only 10 left,EGP 85,0 Review(s),mk 5013
كروشيه,قاعده اكواب كروشيه,Only 3 left,EGP 25,0 Review(s),mk  5000
خشب,تابلوه جذع شجرة 39,Only 1 left,EGP 220,0 Review(s),mk 4080
No,صابونة اللبن و العسل,Only 1 left,EGP 50,0 Review(s),mk 5020
No,"صابونة ""ماورد"" ماء الورد",Only 1 left,EGP 80,0 Review(s),mk 5020
سيراميك,فنجال بالطبق مرسوم 4,Only 4 left,EGP 190,0 Review(s),MK 3044
خشب,قاعده اكواب خشب,Only 10 left,EGP 35,0 Review(s),MK 3044
